CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,Average Grade,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
46689,MUS,450,Advanced Ensemble Music,H11,PR,120101,"Chasanov, Elliot L",,,,,,,,,,,,,,,
43935,MUS,450,Advanced Ensemble Music,H12,PR,120101,"Moore, Mark E",,,,,,,,,,,,,,,
36573,MUS,450,Advanced Ensemble Music,H2,PR,120101,"Harris, James D",,,,,,,,,,,,,,,
36575,MUS,450,Advanced Ensemble Music,H3,PR,120101,"Dee, John",,,,,,,,,,,,,,,
36576,MUS,450,Advanced Ensemble Music,H4,PR,120101,"McGovern, Timothy S",,,,,,,,,,,,,,,
36578,MUS,450,Advanced Ensemble Music,H5,PR,120101,"Richtmeyer, Debra A",,,,,,,,,,,,,,,
36562,MUS,450,Advanced Ensemble Music,H6,PR,120101,"Chasanov, Elliot L",,,,,,,,,,,,,,,
36580,MUS,450,Advanced Ensemble Music,H7,PR,120101,"Walburn, Jacob A",,,,,,,,,,,,,,,
36582,MUS,450,Advanced Ensemble Music,H8,PR,120101,"Jostlein, Thomas",,,,,,,,,,,,,,,
36583,MUS,450,Advanced Ensemble Music,H9,PR,120101,"Walburn, Jacob A",,,,,,,,,,,,,,,
36594,MUS,450,Advanced Ensemble Music,J1,PR,120101,"McNeill, Charles L",,,,,,,,,,,,,,,
36596,MUS,450,Advanced Ensemble Music,J2,PR,120101,"Pugh, James E",,,,,,,,,,,,,,,
36598,MUS,450,Advanced Ensemble Music,J3,PR,120101,"Noblet, Catherine",,,,,,,,,,,,,,,
36601,MUS,450,Advanced Ensemble Music,J4,PR,120101,"Doyle, Phillip J",,,,,,,,,,,,,,,
36645,MUS,450,Advanced Ensemble Music,J5,PR,120101,"Carrillo, Teofilo L",,,,,,,,,,,,,,,
36586,MUS,450,Advanced Ensemble Music,JC1,PR,120101,"Stephens, John C",,,,,,,,,,,,,,,
36588,MUS,450,Advanced Ensemble Music,JC2,PR,120101,"Hall, Dana",,,,,,,,,,,,,,,
36589,MUS,450,Advanced Ensemble Music,JC3,PR,120101,"McNeill, Charles L",,,,,,,,,,,,,,,
36591,MUS,450,Advanced Ensemble Music,JC4,PR,120101,"Gray, Lawrence W",,,,,,,,,,,,,,,
41826,MUS,450,Advanced Ensemble Music,JC6,PR,120101,"Bridgewater, Ronald S",,,,,,,,,,,,,,,
47134,MUS,450,Advanced Ensemble Music,JC7,PR,120101,"Wilson, Glenn D",,,,,,,,,,,,,,,
46729,MUS,450,Advanced Ensemble Music,JGE,PR,120101,"Purcell, Shawn P",,,,,,,,,,,,,,,
45355,MUS,450,Advanced Ensemble Music,JTE,PR,120101,"Pugh, James E",,,,,,,,,,,,,,,
51797,MUS,450,Advanced Ensemble Music,JVE,PR,120101,"Purcell, Darden E",,,,,,,,,,,,,,,
36602,MUS,450,Advanced Ensemble Music,K,PR,120101,"Schleicher, Donald J",,,,,,,,,,,,,,,
36605,MUS,450,Advanced Ensemble Music,K1,PR,120101,"Bergonzi, Louis S",,,,,,,,,,,,,,,
36607,MUS,450,Advanced Ensemble Music,K2,PR,120101,"Carrettin, Zachary I",,,,,,,,,,,,,,,
36610,MUS,450,Advanced Ensemble Music,L,PR,120101,"Moersch, William",,,,,,,,,,,,,,,
36613,MUS,450,Advanced Ensemble Music,L1,PR,120101,"Flores, Ricardo",,,,,,,,,,,,,,,
36616,MUS,450,Advanced Ensemble Music,M,PR,120101,"Rumbelow, Robert W",,,,,,,,,,,,,,,
36619,MUS,450,Advanced Ensemble Music,M1,PR,120101,"George, Roby",,,,,,,,,,,,,,,
